Varga,Varga_Name,Node,Modifying_Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
D10,Dasamsa,Ketu,Moon,15.5[G],6.5[K],7.2[G],25.4[R],0.1[G],,
D10,Dasamsa,Ketu,Mars,25.5[G],,13.8[K],,3.8[G],,
D10,Dasamsa,Ketu,Mercury,,6.1[G],6.9[R],30.4[K],0.0[R],,
D10,Dasamsa,Ketu,Jupiter,18.9[G],3.0[G],10.6[G],,0.0[K],,
D10,Dasamsa,Ketu,Venus,,,,,0.5[R],,
D10,Dasamsa,Ketu,Saturn,,,,,,,
D12,Dvadasamsa,Rahu,Sun,5.9[K],23.7[G],26.4[G],19.3[G],58.3[G],,
D12,Dvadasamsa,Rahu,Moon,6.1[G],23.8[K],27.0[G],7.9[R],1.1[G],6.6[R],14.9[R]
D12,Dvadasamsa,Rahu,Mars,10.0[G],,52.0[K],,28.9[G],,10.0[R]
D12,Dvadasamsa,Rahu,Mercury,,22.1[G],25.8[R],9.1[K],0.1[R],0.4[G],0.2[G]
D12,Dvadasamsa,Rahu,Jupiter,7.4[G],10.9[G],40.1[G],,0.0[K],,
D12,Dvadasamsa,Rahu,Venus,,,,,3.8[R],0.4[K],4.3[G]
D12,Dvadasamsa,Rahu,Saturn,,,,,,6.5[R],9.8[K]
D12,Dvadasamsa,Ketu,Sun,10.2[K],5.8[G],6.7[G],67.7[G],7.6[G],,
D12,Dvadasamsa,Ketu,Moon,10.4[G],5.9[K],6.8[G],27.7[R],0.1[G],,
D12,Dvadasamsa,Ketu,Mars,17.2[G],,13.2[K],,3.8[G],,
D12,Dvadasamsa,Ketu,Mercury,,5.5[G],6.5[R],31.8[K],0.0[R],,
D12,Dvadasamsa,Ketu,Jupiter,12.7[G],2.7[G],10.2[G],,0.0[K],,
D12,Dvadasamsa,Ketu,Venus,,,,,0.5[R],,
D12,Dvadasamsa,Ketu,Saturn,,,,,,,
D16,Shodamsa,Rahu,Sun,8.8[K],26.3[G],27.7[G],18.4[G],55.7[G],1.5[R],
D16,Shodamsa,Rahu,Moon,9.0[G],26.4[K],28.3[G],7.3[R],1.1[G],6.7[R],14.9[R]
D16,Shodamsa,Rahu,Mars,14.9[G],,54.4[K],,29.1[G],,10.1[R]
D16,Shodamsa,Rahu,Mercury,,24.6[G],27.0[R],8.7[K],0.1[R],0.4[G],0.2[G]
D16,Shodamsa,Rahu,Jupiter,11.0[G],12.1[G],42.0[G],,0.0[K],,
D16,Shodamsa,Rahu,Venus,,,,,3.7[R],0.4[K],4.4[G]
D16,Shodamsa,Rahu,Saturn,,,,,,6.6[R],10.0[K]
D16,Shodamsa,Ketu,Sun,15.2[K],6.5[G],7.0[G],64.6[G],7.2[G],,
D16,Shodamsa,Ketu,Moon,15.5[G],6.5[K],7.2[G],25.4[R],0.1[G],,
D16,Shodamsa,Ketu,Mars,25.5[G],,13.8[K],,3.8[G],,
D16,Shodamsa,Ketu,Mercury,,6.1[G],6.9[R],30.4[K],0.0[R],,
D16,Shodamsa,Ketu,Jupiter,18.9[G],3.0[G],10.6[G],,0.0[K],,
D16,Shodamsa,Ketu,Venus,,,,,0.5[R],,
D16,Shodamsa,Ketu,Saturn,,,,,,,
D20,Vimsamsa,Rahu,Sun,9.0[K],24.9[G],26.3[G],19.1[G],57.7[G],,
D20,Vimsamsa,Rahu,Moon,9.2[G],24.9[K],26.8[G],7.8[R],1.1[G],7.1[R],14.9[R]
D20,Vimsamsa,Rahu,Mars,15.2[G],,51.6[K],,28.2[G],,10.1[R]
D20,Vimsamsa,Rahu,Mercury,,23.2[G],25.6[R],9.0[K],0.2[R],0.4[G],0.2[G]
D20,Vimsamsa,Rahu,Jupiter,11.2[G],11.5[G],39.8[G],,0.0[K],,
D20,Vimsamsa,Rahu,Venus,,,,,3.9[R],0.4[K],4.4[G]
D20,Vimsamsa,Rahu,Saturn,,,,,,7.0[R],9.9[K]
D20,Vimsamsa,Ketu,Sun,15.5[K],6.1[G],6.7[G],66.9[G],7.5[G],,
D20,Vimsamsa,Ketu,Moon,15.8[G],6.2[K],6.8[G],27.2[R],0.1[G],,
D20,Vimsamsa,Ketu,Mars,26.1[G],,13.1[K],,3.7[G],,
D20,Vimsamsa,Ketu,Mercury,,5.7[G],6.5[R],31.5[K],0.0[R],,
D20,Vimsamsa,Ketu,Jupiter,19.2[G],2.8[G],10.1[G],,0.0[K],,
D20,Vimsamsa,Ketu,Venus,,,,,0.5[R],,
D20,Vimsamsa,Ketu,Saturn,,,,,,,
D24,Chaturvimsamsa,Rahu,Sun,9.0[K],24.9[G],26.3[G],19.1[G],57.7[G],,14.6[R]
D24,Chaturvimsamsa,Rahu,Moon,9.2[G],24.9[K],26.8[G],7.8[R],1.1[G],7.1[R],14.9[R]
D24,Chaturvimsamsa,Rahu,Mars,15.2[G],,51.6[K],,28.2[G],,10.1[R]
D24,Chaturvimsamsa,Rahu,Mercury,,23.2[G],25.6[R],9.0[K],0.2[R],0.4[G],0.2[G]
D24,Chaturvimsamsa,Rahu,Jupiter,11.2[G],11.5[G],39.8[G],,0.0[K],,
D24,Chaturvimsamsa,Rahu,Venus,,,,,3.9[R],0.4[K],4.4[G]
D24,Chaturvimsamsa,Rahu,Saturn,,,,,,7.0[R],9.9[K]
D24,Chaturvimsamsa,Ketu,Sun,15.5[K],6.1[G],6.7[G],66.9[G],7.5[G],,
D24,Chaturvimsamsa,Ketu,Moon,15.8[G],6.2[K],6.8[G],27.2[R],0.1[G],,
D24,Chaturvimsamsa,Ketu,Mars,26.1[G],,13.1[K],,3.7[G],,
D24,Chaturvimsamsa,Ketu,Mercury,,5.7[G],6.5[R],31.5[K],0.0[R],,
D24,Chaturvimsamsa,Ketu,Jupiter,19.2[G],2.8[G],10.1[G],,0.0[K],,
D24,Chaturvimsamsa,Ketu,Venus,,,,,0.5[R],,
D24,Chaturvimsamsa,Ketu,Saturn,,,,,,,
D27,Bhamsa,Rahu,Sun,9.0[K],24.9[G],26.3[G],19.1[G],57.7[G],,
D27,Bhamsa,Rahu,Moon,9.2[G],24.9[K],26.8[G],7.8[R],1.1[G],7.1[R],14.9[R]
D27,Bhamsa,Rahu,Mars,15.2[G],,51.6[K],,28.2[G],,10.1[R]
D27,Bhamsa,Rahu,Mercury,,23.2[G],25.6[R],9.0[K],0.2[R],0.4[G],0.2[G]
D27,Bhamsa,Rahu,Jupiter,11.2[G],11.5[G],39.8[G],,0.0[K],,
D27,Bhamsa,Rahu,Venus,,,,,3.9[R],0.4[K],4.4[G]
D27,Bhamsa,Rahu,Saturn,,,,,,7.0[R],9.9[K]
D27,Bhamsa,Ketu,Sun,15.5[K],6.1[G],6.7[G],66.9[G],7.5[G],,
D27,Bhamsa,Ketu,Moon,15.8[G],6.2[K],6.8[G],27.2[R],0.1[G],,
D27,Bhamsa,Ketu,Mars,26.1[G],,13.1[K],,3.7[G],,
D27,Bhamsa,Ketu,Mercury,,5.7[G],6.5[R],31.5[K],0.0[R],,
D27,Bhamsa,Ketu,Jupiter,19.2[G],2.8[G],10.1[G],,0.0[K],,
D27,Bhamsa,Ketu,Venus,,,,,0.5[R],,
D27,Bhamsa,Ketu,Saturn,,,,,,,
D30,Trimsamsa,Rahu,Sun,5.9[K],23.7[G],26.4[G],19.3[G],58.3[G],,
D30,Trimsamsa,Rahu,Moon,6.1[G],23.8[K],27.0[G],7.9[R],1.1[G],6.6[R],14.9[R]
D30,Trimsamsa,Rahu,Mars,10.0[G],,52.0[K],,28.9[G],,10.0[R]
D30,Trimsamsa,Rahu,Mercury,,22.1[G],25.8[R],9.1[K],0.1[R],0.4[G],0.2[G]
D30,Trimsamsa,Rahu,Jupiter,7.4[G],10.9[G],40.1[G],,0.0[K],,
D30,Trimsamsa,Rahu,Venus,,,,,3.8[R],0.4[K],4.3[G]
D30,Trimsamsa,Rahu,Saturn,,,,,,6.5[R],9.8[K]
D30,Trimsamsa,Ketu,Sun,10.2[K],5.8[G],6.7[G],67.7[G],7.6[G],,
D30,Trimsamsa,Ketu,Moon,10.4[G],5.9[K],6.8[G],27.7[R],0.1[G],,
D30,Trimsamsa,Ketu,Mars,17.2[G],,13.2[K],,3.8[G],,
D30,Trimsamsa,Ketu,Mercury,,5.5[G],6.5[R],31.8[K],0.0[R],,
D30,Trimsamsa,Ketu,Jupiter,12.7[G],2.7[G],10.2[G],,0.0[K],,
D30,Trimsamsa,Ketu,Venus,,,,,0.5[R],,
D30,Trimsamsa,Ketu,Saturn,,,,,,,
D40,Khavedamsa,Rahu,Sun,9.0[K],24.9[G],26.3[G],19.1[G],57.7[G],,14.6[R]
D40,Khavedamsa,Rahu,Moon,9.2[G],24.9[K],26.8[G],7.8[R],1.1[G],7.1[R],14.9[R]
D40,Khavedamsa,Rahu,Mars,15.2[G],,51.6[K],,28.2[G],,10.1[R]
D40,Khavedamsa,Rahu,Mercury,,23.2[G],25.6[R],9.0[K],0.2[R],0.4[G],0.2[G]
D40,Khavedamsa,Rahu,Jupiter,11.2[G],11.5[G],39.8[G],,0.0[K],,
D40,Khavedamsa,Rahu,Venus,,,,,3.9[R],0.4[K],4.4[G]
D40,Khavedamsa,Rahu,Saturn,,,,,,7.0[R],9.9[K]
D40,Khavedamsa,Ketu,Sun,15.5[K],6.1[G],6.7[G],66.9[G],7.5[G],,
D40,Khavedamsa,Ketu,Moon,15.8[G],6.2[K],6.8[G],27.2[R],0.1[G],,
D40,Khavedamsa,Ketu,Mars,26.1[G],,13.1[K],,3.7[G],,
D40,Khavedamsa,Ketu,Mercury,,5.7[G],6.5[R],31.5[K],0.0[R],,
D40,Khavedamsa,Ketu,Jupiter,19.2[G],2.8[G],10.1[G],,0.0[K],,
D40,Khavedamsa,Ketu,Venus,,,,,0.5[R],,
D40,Khavedamsa,Ketu,Saturn,,,,,,,
D45,Akshavedamsa,Rahu,Sun,9.0[K],24.9[G],26.3[G],19.1[G],57.7[G],,
D45,Akshavedamsa,Rahu,Moon,9.2[G],24.9[K],26.8[G],7.8[R],1.1[G],7.1[R],14.9[R]
D45,Akshavedamsa,Rahu,Mars,15.2[G],,51.6[K],,28.2[G],,10.1[R]
D45,Akshavedamsa,Rahu,Mercury,,23.2[G],25.6[R],9.0[K],0.2[R],0.4[G],0.2[G]
D45,Akshavedamsa,Rahu,Jupiter,11.2[G],11.5[G],39.8[G],,0.0[K],,
D45,Akshavedamsa,Rahu,Venus,,,,,3.9[R],0.4[K],4.4[G]
D45,Akshavedamsa,Rahu,Saturn,,,,,,7.0[R],9.9[K]
D45,Akshavedamsa,Ketu,Sun,15.5[K],6.1[G],6.7[G],66.9[G],7.5[G],,
D45,Akshavedamsa,Ketu,Moon,15.8[G],6.2[K],6.8[G],27.2[R],0.1[G],,
D45,Akshavedamsa,Ketu,Mars,26.1[G],,13.1[K],,3.7[G],,
D45,Akshavedamsa,Ketu,Mercury,,5.7[G],6.5[R],31.5[K],0.0[R],,
D45,Akshavedamsa,Ketu,Jupiter,19.2[G],2.8[G],10.1[G],,0.0[K],,
D45,Akshavedamsa,Ketu,Venus,,,,,0.5[R],,
D45,Akshavedamsa,Ketu,Saturn,,,,,,,
D60,Shastiamsa,Rahu,Sun,8.8[K],26.3[G],27.7[G],18.4[G],55.7[G],,
D60,Shastiamsa,Rahu,Moon,9.0[G],26.4[K],28.3[G],7.3[R],1.1[G],6.7[R],14.9[R]
D60,Shastiamsa,Rahu,Mars,14.9[G],,54.4[K],,29.1[G],,10.1[R]
D60,Shastiamsa,Rahu,Mercury,,24.6[G],27.0[R],8.7[K],0.1[R],0.4[G],0.2[G]
D60,Shastiamsa,Rahu,Jupiter,11.0[G],12.1[G],42.0[G],,0.0[K],,
D60,Shastiamsa,Rahu,Venus,,,,,3.7[R],0.4[K],4.4[G]
D60,Shastiamsa,Rahu,Saturn,,,,,,6.6[R],10.0[K]
D60,Shastiamsa,Ketu,Sun,15.2[K],6.5[G],7.0[G],64.6[G],7.2[G],,
D60,Shastiamsa,Ketu,Moon,15.5[G],6.5[K],7.2[G],25.4[R],0.1[G],,
D60,Shastiamsa,Ketu,Mars,25.5[G],,13.8[K],,3.8[G],,
D60,Shastiamsa,Ketu,Mercury,,6.1[G],6.9[R],30.4[K],0.0[R],,
D60,Shastiamsa,Ketu,Jupiter,18.9[G],3.0[G],10.6[G],,0.0[K],,
D60,Shastiamsa,Ketu,Venus,,,,,0.5[R],,
D60,Shastiamsa,Ketu,Saturn,,,,,,,
