Varga,Varga_Name,Giver,Receiver,Is_Diagonal,Raw_Text,Value_1,Color_1,Value_2,Color_2,Vimsho_Score,Net_Modifier
D4,Chaturthamsa,Mercury,Sun,False,,,,,,,27.3
D4,Chaturthamsa,Mercury,Moon,False,3.4[G],3.4,G,,,,48.3
D4,Chaturthamsa,Mercury,Mars,False,1.7[R],1.7,R,,,,97.6
D4,Chaturthamsa,Mercury,Mercury,True,16.3,16.3,K,,,16.3,-15.5
D4,Chaturthamsa,Mercury,Jupiter,False,1.1[R],1.1,R,,,,92.3
D4,Chaturthamsa,Mercury,Venus,False,2.2[G],2.2,G,,,,-15.3
D4,Chaturthamsa,Mercury,Saturn,False,,,,,,,5.6
D4,Chaturthamsa,Jupiter,Sun,False,7.5[G],7.5,G,,,,27.3
D4,Chaturthamsa,Jupiter,Moon,False,44.7[G],44.7,G,,,,48.3
D4,Chaturthamsa,Jupiter,Mars,False,42.1[G],42.1,G,,,,97.6
D4,Chaturthamsa,Jupiter,Mercury,False,,,,,,,-15.5
D4,Chaturthamsa,Jupiter,Jupiter,True,11.3,11.3,K,,,11.3,92.3
D4,Chaturthamsa,Jupiter,Venus,False,,,,,,,-15.3
D4,Chaturthamsa,Jupiter,Saturn,False,,,,,,,5.6
D4,Chaturthamsa,Venus,Sun,False,,,,,,,27.3
D4,Chaturthamsa,Venus,Moon,False,,,,,,,48.3
D4,Chaturthamsa,Venus,Mars,False,,,,,,,97.6
D4,Chaturthamsa,Venus,Mercury,False,,,,,,,-15.5
D4,Chaturthamsa,Venus,Jupiter,False,8.8[R],8.8,R,,,,92.3
D4,Chaturthamsa,Venus,Venus,True,14.9,14.9,K,,,14.9,-15.3
D4,Chaturthamsa,Venus,Saturn,False,41.2[G],41.2,G,,,,5.6
D4,Chaturthamsa,Saturn,Sun,False,,,,,,,27.3
D4,Chaturthamsa,Saturn,Moon,False,,,,,,,48.3
D4,Chaturthamsa,Saturn,Mars,False,,,,,,,97.6
D4,Chaturthamsa,Saturn,Mercury,False,,,,,,,-15.5
D4,Chaturthamsa,Saturn,Jupiter,False,,,,,,,92.3
D4,Chaturthamsa,Saturn,Venus,False,15.3[R],15.3,R,,,,-15.3
D4,Chaturthamsa,Saturn,Saturn,True,13.7,13.7,K,,,13.7,5.6
D7,Saptamsa,Sun,Sun,True,9.1,9.1,K,,,9.1,21.6
D7,Saptamsa,Sun,Moon,False,0.1[G],0.1,G,,,,47.6
D7,Saptamsa,Sun,Mars,False,1.1[G],1.1,G,,,,110.1
D7,Saptamsa,Sun,Mercury,False,48.8[G],48.8,G,,,,44.2
D7,Saptamsa,Sun,Jupiter,False,,,,,,,94.8
D7,Saptamsa,Sun,Venus,False,,,,,,,-16.3
D7,Saptamsa,Sun,Saturn,False,,,,,,,11.3
D7,Saptamsa,Moon,Sun,False,7.0[G],7.0,G,,,,21.6
D7,Saptamsa,Moon,Moon,True,14.7,14.7,K,,,14.7,47.6
D7,Saptamsa,Moon,Mars,False,47.3[G],47.3,G,,,,110.1
D7,Saptamsa,Moon,Mercury,False,4.5[R],4.5,R,,,,44.2
D7,Saptamsa,Moon,Jupiter,False,34.8[G],34.8,G,,,,94.8
D7,Saptamsa,Moon,Venus,False,16.3[R],16.3,R,,,,-16.3
D7,Saptamsa,Moon,Saturn,False,16.9[R],16.9,R,,,,11.3
D7,Saptamsa,Mars,Sun,False,8.7[G],8.7,G,,,,21.6
D7,Saptamsa,Mars,Moon,False,,,,,,,47.6
D7,Saptamsa,Mars,Mars,True,15.8*2,15.8,K,,,15.8*2,110.1
D7,Saptamsa,Mars,Mercury,False,,,,,,,44.2
D7,Saptamsa,Mars,Jupiter,False,34.8[G],34.8,G,,,,94.8
D7,Saptamsa,Mars,Venus,False,,,,,,,-16.3
D7,Saptamsa,Mars,Saturn,False,15.0[R],15.0,R,,,,11.3
D7,Saptamsa,Mercury,Sun,False,,,,,,,21.6
D7,Saptamsa,Mercury,Moon,False,3.4[G],3.4,G,,,,47.6
D7,Saptamsa,Mercury,Mars,False,1.2[R],1.2,R,,,,110.1
